Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
Crocodylus porosus,AE,FR,AU,14,38.86,leather products (small),,T,C
Crocodylus porosus,AE,FR,AU,12,97.08,leather products (small),,T,R
Crocodylus porosus,AE,FR,AU,,1,skins,,T,R
Crocodylus porosus,AE,FR,AU,,1,skin pieces,,T,C
Crocodylus porosus,AE,FR,AU,,4.14,skin pieces,,T,R
Crocodylus porosus,AE,FR,ID,,1,leather products (small),,T,C
Crocodylus porosus,AE,FR,PG,2,58.37,leather products (small),,T,C
Crocodylus porosus,AE,FR,PG,,18,leather products (small),,T,W
Crocodylus porosus,AE,FR,XX,4,,leather products (small),,T,C
Crocodylus porosus,AE,FR,XX,7,,leather products (small),,T,R
Crocodylus porosus,AE,GB,AU,,1,leather products (small),,T,C
Crocodylus porosus,AE,GB,AU,,4,leather products (small),,T,R
Crocodylus porosus,AE,GB,ID,,1,leather products (small),,T,C
Crocodylus porosus,AE,ID,,,5,skins,,T,C
Crocodylus porosus,AE,IT,AU,,1,garments,,T,C
Crocodylus porosus,AE,IT,AU,,1,leather products (large),,P,R
Crocodylus porosus,AE,IT,AU,,2,leather products (large),,T,C
Crocodylus porosus,AE,IT,AU,,2,leather products (large),,T,R
Crocodylus porosus,AE,IT,AU,,5,leather products (small),,P,C
Crocodylus porosus,AE,IT,AU,,2,leather products (small),,P,R
Crocodylus porosus,AE,IT,AU,,3,leather products (small),,T,C
Crocodylus porosus,AE,IT,AU,,54,leather products (small),,T,R
Crocodylus porosus,AE,IT,ID,,4,leather products (large),,T,R
Crocodylus porosus,AE,IT,PG,,42,garments,,T,W
Crocodylus porosus,AE,IT,PG,,2,leather products (large),,T,C
Crocodylus porosus,AE,IT,PG,,2,leather products (small),,T,W
Crocodylus porosus,AE,JP,PG,,14,skins,,T,C
Crocodylus porosus,AE,MC,AU,,2,leather products (small),,P,C
Crocodylus porosus,AE,MC,AU,,1,leather products (small),,P,R
Crocodylus porosus,AM,DE,AU,,5,skins,,T,C
Crocodylus porosus,AM,DE,AU,,1,skins,,T,R
Crocodylus porosus,AM,DE,TH,,4,skins,,T,D
Crocodylus porosus,AM,FR,PG,,2,leather products (small),,T,C
Crocodylus porosus,AM,IT,AU,,20,leather products (small),,T,R
Crocodylus porosus,AO,FR,AU,,1,leather products (small),,T,C
Crocodylus porosus,AR,FR,AU,,2,leather products (small),,T,R
Crocodylus porosus,AR,FR,PG,,4,leather products (small),,T,C
Crocodylus porosus,AT,AU,PG,23,,leather products (small),,T,C
Crocodylus porosus,AT,AU,,1,,leather products (small),,T,R
Crocodylus porosus,AT,AU,,1,,skins,,T,W
Crocodylus porosus,AT,AU,,1,,skulls,,T,W
